name          , type       , strDefault, attributes    , upgrades, docOrder, description
lastCached    , string     ,           ,               ,         ,        1, the last time this cache was updated
nFiles        , uint64     ,           ,               ,         ,        2, the number of files in the cache
nFolders      , uint64     ,           ,               ,         ,        3, the number of folders in the cache
path          , string     ,           ,               ,         ,        4, the path to the cache
sizeInBytes   , uint64     ,           ,               ,         ,        5, the size of the cache in bytes
type          , string     ,           ,               ,         ,        6, the type of cache
