name       , type     , strDefault, attributes, section  , upgrades, docOrder, description
address    , address  ,           , readOnly  , Overview ,         ,        1, the address of this smart contract
name       , string   ,           ,           , Overview ,         ,        2, the name of this contract (if available)
abi        , *Abi     ,           , noui      , Technical,         ,        3, the ABI for this contract
lastUpdated, timestamp,           ,           , Status   ,         ,        4, timestamp when this contract state was last updated
date       , datetime ,           ,           , Status   ,         ,        5, date when this contract state was last updated
errorCount , int64    ,           ,           , Status   ,         ,        6, number of errors encountered when calling read functions
lastError  , string   ,           , noui      , Status   ,         ,        7, the most recent error message when calling functions
