name        , type       , strDefault, attributes    , section  , upgrades, docOrder, description
range       , blkrange   ,           ,               , Range    ,         ,        1, the block range (inclusive) covered by this chunk
magic       , string     ,           ,               , Metadata ,         ,        2, an internal use only magic number to indicate file format
hash        , hash       ,           ,               , Metadata ,         ,        3, the hash of the specification under which this chunk was generated
nAddresses  , uint64     ,           ,               , Content  ,         ,        4, the number of addresses in this chunk
nAppearances, uint64     ,           ,               , Content  ,         ,        5, the number of appearances in this chunk
size        , uint64     ,           ,               , Metadata ,         ,        6, the size of the chunk in bytes
rangeDates  , *RangeDates,           , noui|omitempty, Range    ,         ,        7, if verbose&#44; the block and timestamp bounds of the chunk (may be null)
