name       , type    , required, section     , docOrder, description
thumbnail  , path    , true    , Display     ,        1, Path to thumbnail image
filename   , string  , true    , File        ,        2, Image filename
series     , string  , true    , Organization,        3, Series name
orientation, string  , false   , Properties  ,        4, Image orientation
enhanced   , boolean    , false   , Properties  ,        5, Has enhanced prompt
createdAt  , datetime, true    , Metadata    ,        6, Image creation timestamp
sizeKB     , value   , false   , File        ,        7, Image file size in KB
