section,facet,order,label,isForm,key,width,sortable,filterable,formatter
details,transfers,Transfer Details,4,Recipient,false,recipient,address
details,transfers,Transfer Details,5,Decimals,false,decimals,
details,transfers,Amount Breakdown,6,Amount,false,amount,wei
details,transfers,Amount Breakdown,7,Amount In,false,amountIn,wei
details,transfers,Amount Breakdown,8,Amount Out,false,amountOut,wei
details,transfers,Amount Breakdown,8,Internal In,false,internalIn,wei
details,transfers,Amount Breakdown,9,Internal Out,false,internalOut,wei
details,transfers,Amount Breakdown,10,Gas Out,false,gasOut,wei
details,transfers,Mining Rewards,11,Base Reward In,false,minerBaseRewardIn,wei
details,transfers,Mining Rewards,12,Nephew Reward In,false,minerNephewRewardIn,wei
details,transfers,Mining Rewards,13,Tx Fee In,false,minerTxFeeIn,wei
details,transfers,Mining Rewards,14,Uncle Reward In,false,minerUncleRewardIn,wei
details,transfers,Special Transfers,15,Self Destruct In,false,selfDestructIn,wei
details,transfers,Special Transfers,16,Self Destruct Out,false,selfDestructOut,wei
details,transfers,Special Transfers,17,Prefund In,false,prefundIn,wei
details,transactions,Block Context,15,Block Number,false,blockNumber,
details,transactions,Block Context,16,Block Hash,false,blockHash,hash
details,transactions,Block Context,17,Transaction Index,false,transactionIndex,
details,transactions,Transaction Overview,1,Hash,false,hash,hash
details,transactions,Transaction Overview,2,From,false,from,address
details,transactions,Transaction Overview,3,To,false,to,address
details,transactions,Transaction Overview,4,Value,false,value,wei
details,transactions,Transaction Overview,5,Timestamp,false,timestamp,datetime
details,transactions,Transaction Overview,6,Input Data,false,input,
details,transactions,Transaction Overview,7,Articulated Transaction,false,articulatedTx,json
details,transactions,Transaction Overview,8,Error Status,false,isError,
details,transactions,Transaction Overview,9,Has Token,false,hasToken,
details,transactions,Gas Information,10,Gas Limit,false,gas,
details,transactions,Gas Information,11,Gas Used,false,gasUsed,gas
details,transactions,Gas Information,12,Gas Price,false,gasPrice,gas
details,transactions,Gas Information,13,Max Fee Per Gas,false,maxFeePerGas,gas
details,transactions,Gas Information,14,Max Priority Fee,false,maxPriorityFeePerGas,gas
details,transactions,Transaction Details,18,Nonce,false,nonce,
details,transactions,Transaction Details,19,Transaction Type,false,type,
details,withdrawals,Block Information,5,Block Number,false,blockNumber,
details,withdrawals,Block Information,6,Timestamp,false,timestamp,datetime
details,withdrawals,Withdrawal Details,1,Recipient Address,false,address,address
details,withdrawals,Withdrawal Details,2,Amount,false,amount,ether
